gameid,url,league,split,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,"team kpm",ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,"dragons (type unknown)",elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,"earned gpm",earnedgoldshare,goldspent,gspd,"total cs",minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
ESPORTSTMNT02/1392007,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1392007?gameHash=ead49649995f9479,LCS,2020-2,"2020-06-20 22:28:36",1,10.12,9,Red,bot,Stixxay,"Counter Logic Gaming",Aphelios,Varus,Yuumi,Ornn,Taric,Thresh,2374,1,5,4,5,13,8,1,1,0,0,0,0,0,1,0.3286,0.5307,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,1,25699,649.5114,0.354616,17,0.4297,20,0.5055,7,31,0.7835,17491,12372,312.6874,0.293532,14375,NULL,392,368,24,19,0,9.9073,3251,3268,86,3473,3447,98,-222,-179,-12,4692,4684,116,5868,4928,130,-1176,-244,-14
ESPORTSTMNT02/1392007,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1392007?gameHash=ead49649995f9479,LCS,2020-2,"2020-06-20 22:28:36",1,10.12,10,Red,sup,Smoothie,"Counter Logic Gaming",Lulu,Varus,Yuumi,Ornn,Taric,Thresh,2374,1,2,1,8,13,8,0,0,0,0,0,0,0,0,0.3286,0.5307,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,3093,78.1719,0.0426797,55,1.3901,8,0.2022,13,79,1.9966,8688,3569,90.2022,0.0846838,7214,NULL,31,31,0,0,0,0.7835,2037,2720,14,1823,2657,1,214,63,13,3231,3818,19,2995,3825,5,236,-7,14
ESPORTSTMNT02/1392007,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1392007?gameHash=ead49649995f9479,LCS,2020-2,"2020-06-20 22:28:36",1,10.12,100,Blue,team,,Dignitas,,Trundle,Olaf,Syndra,Nidalee,Morgana,2374,0,8,13,22,8,13,2,0,0,0,1,NULL,NULL,NULL,0.2022,0.5307,0,3,3,3,3,0,0,0,3,0,0,0,1,1,1,1,1,1,1,7,7,0,0,1,1,69508,1756.7313,NULL,157,3.9680,63,1.5922,52,387,9.7810,65213,39620,1001.3479,NULL,62150,0.0273687,NULL,888,319,197,47,30.5055,15287,19863,355,15388,19216,347,-101,647,8,24129,28553,480,24774,29787,528,-645,-1234,-48
ESPORTSTMNT02/1392007,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1392007?gameHash=ead49649995f9479,LCS,2020-2,"2020-06-20 22:28:36",1,10.12,200,Red,team,,"Counter Logic Gaming",,Varus,Yuumi,Ornn,Taric,Thresh,2374,1,13,8,34,13,8,1,1,0,0,0,NULL,NULL,NULL,0.3286,0.5307,1,3,3,3,3,1,0,1,1,0,0,0,0,1,1,0,1,1,0,7,7,1,1,1,1,72470,1831.5922,NULL,120,3.0329,67,1.6933,42,227,5.7372,67743,42150,1065.2906,NULL,60472,-0.0273687,NULL,1043,211,160,0,31.6933,15388,19216,347,15287,19863,355,101,-647,-8,24774,29787,528,24129,28553,480,645,1234,48
ESPORTSTMNT01/1405601,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405601?gameHash=5637a3a2ff5fc937,LCK,2020-2,"2020-06-21 06:53:15",1,10.11,1,Blue,top,Smeb,"KT Rolster",Wukong,Sett,Kalista,Zoe,Thresh,Nautilus,2436,1,1,3,5,13,6,0,0,0,0,0,0,0,0,0.3202,0.4680,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,7661,188.6946,0.112401,21,0.5172,7,0.1724,7,38,0.9360,13734,8489,209.0887,0.197098,11750,NULL,273,268,5,3,0,6.7241,2811,3849,54,4177,4739,77,-1366,-890,-23,4303,6076,88,5853,7446,122,-1550,-1370,-34
ESPORTSTMNT01/1405601,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405601?gameHash=5637a3a2ff5fc937,LCK,2020-2,"2020-06-21 06:53:15",1,10.11,2,Blue,jng,bonO,"KT Rolster",Trundle,Sett,Kalista,Zoe,Thresh,Nautilus,2436,1,4,0,6,13,6,1,0,0,0,1,1,0,0,0.3202,0.4680,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,5518,135.9113,0.0809589,21,0.5172,32,0.7882,20,82,2.0197,13060,7815,192.4877,0.181449,12250,NULL,203,67,136,108,2,5.0000,4104,3572,67,3432,3542,58,672,30,9,5584,5167,96,5392,5793,100,192,-626,-4
ESPORTSTMNT01/1405601,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405601?gameHash=5637a3a2ff5fc937,LCK,2020-2,"2020-06-21 06:53:15",1,10.11,3,Blue,mid,Kuro,"KT Rolster","Twisted Fate",Sett,Kalista,Zoe,Thresh,Nautilus,2436,1,1,1,8,13,6,0,0,0,0,1,0,1,0,0.3202,0.4680,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,11579,285.1970,0.169885,21,0.5172,15,0.3695,9,65,1.6010,16148,10903,268.5468,0.253146,15050,NULL,327,300,27,18,0,8.0542,4127,4084,79,3728,4415,84,399,-331,-5,6243,7173,135,5733,7518,142,510,-345,-7
ESPORTSTMNT01/1405601,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405601?gameHash=5637a3a2ff5fc937,LCK,2020-2,"2020-06-21 06:53:15",1,10.11,4,Blue,bot,Aiming,"KT Rolster",Ezreal,Sett,Kalista,Zoe,Thresh,Nautilus,2436,1,7,1,1,13,6,1,0,0,0,0,0,0,0,0.3202,0.4680,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,41007,1010.0246,0.601646,20,0.4926,13,0.3202,6,47,1.1576,17734,12489,307.6108,0.28997,16150,NULL,416,341,75,56,6,10.2463,3575,3635,88,3739,3586,91,-164,49,-3,5452,5817,148,6873,6438,157,-1421,-621,-9
ESPORTSTMNT01/1405601,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405601?gameHash=5637a3a2ff5fc937,LCK,2020-2,"2020-06-21 06:53:15",1,10.11,5,Blue,sup,TusiN,"KT Rolster",Lulu,Sett,Kalista,Zoe,Thresh,Nautilus,2436,1,0,1,9,13,6,0,0,0,0,0,0,0,0,0.3202,0.4680,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0,2393,58.9409,0.0351096,73,1.7980,23,0.5665,21,126,3.1034,8619,3374,83.1034,0.078337,7925,NULL,44,44,0,0,0,1.0837,2290,2945,13,2134,2362,10,156,583,3,3462,4310,25,3204,3452,23,258,858,2
ESPORTSTMNT01/1405601,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1405601?gameHash=5637a3a2ff5fc937,LCK,2020-2,"2020-06-21 06:53:15",1,10.11,6,Red,top,Rascal,Gen.G,Malphite,Varus,Karma,Yuumi,"Tahm Kench",Braum,2436,0,3,4,1,6,13,0,0,0,0,0,0,0,0,0.1478,0.4680,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,11553,284.5567,0.19717,12,0.2956,4,0.0985,6,28,0.6897,13607,8362,205.9606,0.199356,13950,NULL,282,255,27,17,1,6.9458,4177,4739,77,2811,3849,54,1366,890,23,5853,7446,122,4303,6076,88,1550,1370,34
